"Reference","Qty","Value","Rating","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C9,C10","2","100n","","DNP","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"Y1","1","ECS-2520MV-160-CN","","","","","bldc_driver:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf"
"U7","1","AS5047D","","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ams.com/documents/20143/36005/AS5047D_DS000394_2-00.pdf"
"U6","1","DRV8317HREER","","","","","bldc_driver:WQFN36_REE_TEX","DRV8317HREER"
"U5","1","STM32G0B1KCTx","","","","","Package_QFP:LQFP-32_7x7mm_P0.8mm","https://www.st.com/resource/en/datasheet/stm32g0b1kc.pdf"
"U3","1","TPD2E2U06DCK","","","","","Package_TO_SOT_SMD:SOT-323_SC-70","http://www.ti.com/lit/ds/symlink/tpd2e2u06.pdf"
"U2","1","SN65HVD230","","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"U1","1","UA78M33QDCYRG4Q1","","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.ti.com/lit/gpn/UA78M-Q1"
"SW1","1","SW_Push","","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"R_GAIN1,R_MODE1,R_SLEW1","3","0R","","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R12","1","100k","","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R7,R8,R9,R_term1","4","120R","","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R5,R6","2","1k","","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R1,R2,R3,R4,R11,R_nFault1,R_nSLEEP1","7","5.1k","","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","","bldc_driver:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"D3,D4","2","LED","","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~"
"D1,D2","2","ESD9B3.3ST5G","","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"C_VIN_AVDD2,C_VM2","2","10u","50V","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C_CP1","1","1u","16V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C_AVDD1","1","2.2u","6.3V","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C7,C11,C12,C14,C15,C16,C17,C_CSAREF1,C_FLY1,C_VIN_AVDD1,C_VM1","11","100n","50V,6.3V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C1,C2,C3,C4,C5,C6,C8","7","10u","50V","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
